Model,Accuracy,Precision,Recall,F1,ROC_AUC,CV_Mean_Acc,CV_Std
Random Forest,0.8455284552845529,0.8367346938775511,0.9647058823529412,0.8961748633879781,0.8368421052631578,0.7880849309420739,0.044798686860308606
SVM,0.8536585365853658,0.8316831683168316,0.9882352941176471,0.9032258064516129,0.820123839009288,0.7922077922077922,0.042343661922323944
Logistic Regression,0.8617886178861789,0.84,0.9882352941176471,0.9081081081081082,0.8148606811145511,0.7962481962481963,0.04264129930589489
Decision Tree,0.8211382113821138,0.8247422680412371,0.9411764705882353,0.8791208791208791,0.7733746130030961,0.7718614718614718,0.03645869551951482
KNN,0.8455284552845529,0.8235294117647058,0.9882352941176471,0.8983957219251337,0.7691950464396285,0.7861059575345289,0.043001976637893
Gradient Boosting,0.8130081300813008,0.8297872340425532,0.9176470588235294,0.8715083798882681,0.7569659442724459,0.7717996289424861,0.04932413812158029
